application_number,status,settled_at,amount_financed,deposit_amount,balloon_amount,repayment_term_month,applicant_entity_type,asset_supplier_type,asset_category,asset_type,asset_manufacture_year,usage_type,gst_registered_date,abn_registered_date,guarantor_1_residential_status,lender_name
QF12180,SETTLED,19-12-2023,148500,16500,0,60,SOLE_TRADER,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,21-03-2015,01-12-2010,OWNING,Flexicommercial
QF12189,SUBMITTED_AMENDED,,99599.5,0,0,36,COMPANY,PRIVATE,PRIMARY_ASSETS,TRAILERS,2004,USED,26-02-2018,26-02-2018,OWNING,Flexicommercial
QF12192,SETTLED,22-12-2023,41424.5,13900,0,36,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2022,NEW,01-09-2020,07-08-2020,RENTING,Pepper
QF12196,SETTLED,05-02-2024,97900,0,0,36,TRUST,DEALER,SECONDARY_ASSETS,MEDICAL_DENTAL_LABORATORY_EQUIPMENT,2023,NEW,16-10-2014,16-10-2014,OWNING,Flexicommercial
QF12198,SETTLED,18-01-2024,70634.5,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,05-09-2017,05-09-2017,RENTING,Pepper
QF12200,SETTLED,04-01-2024,53999,6000,0,60,COMPANY,DEALER,CARS_AND_LIGHT_TRUCKS,PASSENGER_VEHICLES,2021,NEW,09-09-2021,09-09-2021,RENTING,Pepper
QF12206,SETTLED,22-01-2024,104500,0,0,60,COMPANY,DEALER,SECONDARY_ASSETS,MEDICAL_DENTAL_LABORATORY_EQUIPMENT,2023,NEW,01-07-2014,17-06-2014,OWNING,Flexicommercial
QF12221,SETTLED,06-03-2024,70744.5,0,0,60,TRUST,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,01-10-2018,01-10-2018,OWNING,Pepper
QF12232,SETTLED,22-02-2024,150000,0,0,60,TRUST,DEALER,SECONDARY_ASSETS,MEDICAL_DENTAL_LABORATORY_EQUIPMENT,2023,NEW,30-11-2021,30-11-2021,OWNING,Flexicommercial
QF12238,SETTLED,20-08-2024,70984.5,16900,0,60,PARTNERSHIP,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,01-01-2011,01-01-2011,OWNING,Pepper
QF12249,SETTLED,22-02-2024,37934.51,0,0,60,TRUST,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,30-11-2021,30-11-2021,OWNING,Pepper
QF12250,APPROVED_WAITING_FOR_MORE_INFO,,154000,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,25-05-2020,23-03-2020,OWNING,Flexicommercial
QF12255,SETTLED,22-02-2024,23864.5,5720,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2019,NEW,14-09-2018,14-09-2018,OWNING,Pepper
QF12257,SETTLED,26-02-2024,66234.5,0,0,60,SOLE_TRADER,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,01-04-2017,24-09-2014,OWNING,Pepper
QF12264,SETTLED,04-03-2024,69300,0,0,60,SOLE_TRADER,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,11-06-2021,03-04-2017,OWNING,Flexicommercial
QF12291,SETTLED,05-03-2024,190000,19000,0,60,COMPANY,DEALER,PRIMARY_ASSETS,YELLOW_GOODS_AND_EXCAVATORS,2023,NEW,01-07-2000,01-04-2000,OWNING,Flexicommercial
QF12296,SETTLED,28-03-2024,156602.5,0,0,60,COMPANY,DEALER,PRIMARY_ASSETS,TRAILERS,2018,NEW,03-03-2020,29-10-2019,OWNING,Flexicommercial
QF12304,SETTLED,26-03-2024,50744.5,20000,0,36,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,22-06-2023,22-06-2023,RENTING,Pepper
QF12305,DRAFTED_AMENDED,,66434.5,0,0,60,TRUST,DEALER,SECONDARY_ASSETS,OTHER,2024,NEW,01-04-2012,22-07-2009,OWNING,Flexicommercial
QF12314,DECLINED,,129644.5,32000,0,60,COMPANY,PRIVATE,CARS_AND_LIGHT_TRUCKS,PASSENGER_VEHICLES,2017,USED,11-06-2021,11-06-2021,RENTING,Resimac
QF12318,SETTLED,09-07-2024,71143.51,14000,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,08-04-2014,08-04-2014,OWNING,Pepper
QF12322,SETTLED,19-03-2024,104044.5,11500,0,60,COMPANY,DEALER,CARS_AND_LIGHT_TRUCKS,PASSENGER_VEHICLES,2022,USED,14-10-2021,14-10-2021,RENTING,Resimac
QF12339,SETTLED,12-04-2024,51419.48,12471.25,0,60,COMPANY,DEALER,SECONDARY_ASSETS,SOLAR_AND_RENEWABLES,2024,NEW,01-10-2019,24-10-2012,RENTING,Pepper
QF12365,SETTLED,09-04-2024,26400,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,01-07-2023,30-06-2023,OWNING,Pepper
QF12367,SETTLED,24-04-2024,61308.5,3000,0,36,TRUST,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,01-07-2022,17-05-2022,OWNING,Pepper
QF12368,SETTLED,15-04-2024,33000,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,04-04-2022,04-04-2022,OWNING,Pepper
QF12370,DECLINED,,100516.65,0,0,60,COMPANY,DEALER,CARS_AND_LIGHT_TRUCKS,LIGHT_TRUCKS,2022,DEMO,03-11-2021,03-11-2021,OWNING,Resimac
QF12374,SETTLED,29-04-2024,71000,50000,0,60,SOLE_TRADER,DEALER,TERTIARY_ASSETS,OTHER_TERTIARY,2024,NEW,20-07-2022,30-05-2022,OWNING,Flexicommercial
QF12382,SETTLED,24-04-2024,85244.5,36300,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,05-12-2014,05-12-2014,OWNING,Flexicommercial
QF12384,SETTLED,21-06-2024,100776.14,8668.36,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,01-10-2022,04-11-2015,RENTING,Flexicommercial
QF12385,SETTLED,22-04-2024,131065,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,21-07-2022,21-07-2022,OWNING,Flexicommercial
QF12418,SETTLED,14-05-2024,32399.09,3000,0,60,TRUST,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,13-08-2019,13-08-2019,OWNING,Pepper
QF12419,SETTLED,13-05-2024,131065,0,0,60,COMPANY,DEALER,SECONDARY_ASSETS,MEDICAL_DENTAL_LABORATORY_EQUIPMENT,2024,NEW,29-06-2021,29-06-2021,OWNING,Flexicommercial
QF12442,SETTLED,23-04-2024,52000,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,15-07-2023,15-07-2023,OWNING,Pepper
QF12446,SETTLED,30-04-2024,143134.7,15782.8,47348.4,60,COMPANY,DEALER,CARS_AND_LIGHT_TRUCKS,PASSENGER_VEHICLES,2024,NEW,03-07-2020,03-07-2020,OWNING,Resimac
QF12478,SETTLED,03-05-2024,37400,0,0,36,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2022,DEMO,14-03-2019,14-03-2019,RENTING,Pepper
QF12484,SETTLED,14-05-2024,63904.5,15840,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,31-03-2021,31-03-2021,RENTING,Flexicommercial
QF12490,SETTLED,29-05-2024,68904,0,0,24,COMPANY,DEALER,PRIMARY_ASSETS,11,2017,NEW,04-06-2018,28-09-2015,OWNING,Flexicommercial
QF12520,DRAFTED_AMENDED,,25544.5,0,0,60,COMPANY,DEALER,PRIMARY_ASSETS,HEAVY_TRUCKS,2024,NEW,22-01-2020,22-01-2020,RENTING,Flexicommercial
QF12534,SETTLED,28-06-2024,219500,0,65850,60,COMPANY,DEALER,PRIMARY_ASSETS,HEAVY_TRUCKS,2024,NEW,24-10-2017,24-10-2017,OWNING,Pepper
QF12535,DRAFTED_AMENDED,,72144.5,12000,0,60,SOLE_TRADER,PRIVATE,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,01-07-2017,05-10-2016,OWNING,Pepper
QF12557,SETTLED,18-06-2024,89444.5,22000,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,01-04-2023,09-09-2021,RENTING,Resimac
QF12566,SETTLED,28-06-2024,131120,32780,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,06-11-2020,06-11-2020,RENTING,Flexicommercial
QF12573,SETTLED,24-06-2024,137397.7,0,0,60,TRUST,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,25-07-2013,25-07-2013,OWNING,Flexicommercial
QF12594,SETTLED,24-06-2024,142000,83500,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,31-03-2021,31-03-2021,RENTING,Pepper
QF12600,SETTLED,13-06-2024,12100,0,0,36,SOLE_TRADER,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2020,NEW,28-10-2019,03-03-2009,OWNING,Pepper
QF12605,SETTLED,05-06-2024,23100,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,20-03-2017,20-03-2017,OWNING,Pepper
QF12611,SETTLED,24-06-2024,64344.5,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,17-02-2022,17-02-2022,OWNING,Flexicommercial
QF12614,DRAFTED_AMENDED,,207990,0,72796.5,60,PARTNERSHIP,DEALER,CARS_AND_LIGHT_TRUCKS,PASSENGER_VEHICLES,2023,USED,30-10-2018,30-10-2018,OWNING,Pepper
QF12620,SUBMITTED_NEW,,60654.5,0,0,60,SOLE_TRADER,PRIVATE,CARS_AND_LIGHT_TRUCKS,PASSENGER_VEHICLES,2004,USED,01-04-2018,01-10-2015,OWNING,Resimac
QF12626,SUBMITTED_NEW,,107500,10000,0,60,TRUST,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,01-07-2022,17-05-2022,OWNING,Flexicommercial
QF12630,SUBMITTED_NEW,,143430.32,35857.58,0,24,COMPANY,DEALER,SECONDARY_ASSETS,MEDICAL_DENTAL_LABORATORY_EQUIPMENT,2024,NEW,18-07-2017,18-07-2017,RENTING,Flexicommercial
QF12642,SETTLED,21-06-2024,44000,11000,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,01-04-2023,09-09-2021,RENTING,Pepper
QF12663,DRAFTED_AMENDED,,148534.5,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,24-03-2022,24-03-2022,RENTING,Flexicommercial
QF12665,SETTLED,17-06-2024,30800,0,0,60,SOLE_TRADER,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,01-07-2015,01-07-2014,OWNING,Pepper
QF12677,SETTLED,28-06-2024,50000,15000,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,24-03-2022,24-03-2022,RENTING,Pepper
QF12711,SETTLED,25-06-2024,9350,0,0,36,SOLE_TRADER,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,28-10-2019,03-03-2009,OWNING,Pepper
QF12720,SETTLED,07-08-2024,55440,13860,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,16-10-2012,16-10-2012,OWNING,Pepper
QF12727,SETTLED,28-06-2024,19464.5,1980,0,48,SOLE_TRADER,PRIVATE,CARS_AND_LIGHT_TRUCKS,VANS_AND_UTES,2015,USED,01-07-2023,21-04-2021,RENTING,Pepper
QF12734,SETTLED,12-07-2024,173044.5,20000,0,60,COMPANY,DEALER,SECONDARY_ASSETS,MEDICAL_DENTAL_LABORATORY_EQUIPMENT,2024,NEW,25-07-2014,25-07-2014,OWNING,Flexicommercial
QF12741,SETTLED,13-08-2024,56424.5,0,0,60,COMPANY,DEALER,CARS_AND_LIGHT_TRUCKS,PASSENGER_VEHICLES,2024,NEW,01-07-2023,01-07-2023,BOARDING,Resimac
QF12751,SETTLED,29-06-2024,145200,0,0,60,COMPANY,DEALER,SECONDARY_ASSETS,MEDICAL_DENTAL_LABORATORY_EQUIPMENT,2024,NEW,17-07-2023,17-07-2023,OWNING,Flexicommercial
QF12758,SETTLED,29-07-2024,68439.08,400,18762.22,60,TRUST,DEALER,CARS_AND_LIGHT_TRUCKS,PASSENGER_VEHICLES,2024,NEW,05-02-2020,05-02-2020,RENTING,Resimac
QF12768,SETTLED,29-07-2024,65334.5,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,21-10-2014,20-10-2014,OWNING,Pepper
QF12769,DRAFTED_AMENDED,,150694.5,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,03-01-2018,11-10-2017,RENTING,Flexicommercial
QF12770,DRAFTED_AMENDED,,80534.5,0,35550,48,SOLE_TRADER,DEALER,CARS_AND_LIGHT_TRUCKS,PASSENGER_VEHICLES,2024,NEW,11-11-2021,13-07-2021,OWNING,Resimac
QF12779,SETTLED,08-08-2024,21994.5,0,0,60,PARTNERSHIP,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,02-07-2013,02-07-2013,OWNING,Pepper
QF12790,SETTLED,28-08-2024,222633.19,19391.81,0,60,COMPANY,DEALER,PRIMARY_ASSETS,TRAILERS,2024,NEW,17-07-2023,17-07-2023,OWNING,Flexicommercial
QF12795,SETTLED,05-08-2024,96800,0,0,60,SOLE_TRADER,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,28-10-2019,03-03-2009,OWNING,Resimac
QF12796,SETTLED,25-07-2024,71412.5,12847.5,0,48,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,01-07-2015,15-06-2015,OWNING,Pepper
QF12802,SETTLED,22-07-2024,143842,5830,50997,36,SOLE_TRADER,DEALER,CARS_AND_LIGHT_TRUCKS,PASSENGER_VEHICLES,2021,NEW,01-07-2023,24-04-2018,OWNING,Pepper
QF12804,SETTLED,31-07-2024,35939.5,273,10408.8,60,SOLE_TRADER,DEALER,PRIMARY_ASSETS,FARMING_AND_AGRICULTURE,2024,NEW,01-07-2022,28-08-2021,OWNING,Pepper
QF12809,SETTLED,18-07-2024,39794.5,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,28-01-2020,28-01-2020,OWNING,Pepper
QF12817,SETTLED,22-07-2024,18150,0,0,24,SOLE_TRADER,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,28-10-2019,03-03-2009,OWNING,Pepper
QF12826,SETTLED,05-08-2024,128544.5,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,01-10-2017,01-10-2017,OWNING,Flexicommercial
QF12830,SUBMITTED_AMENDED,,41534.5,10000,15000,60,SOLE_TRADER,DEALER,CARS_AND_LIGHT_TRUCKS,PASSENGER_VEHICLES,2023,USED,,01-07-2015,OWNING,Pepper
QF12832,SETTLED,06-08-2024,70000,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,01-10-2017,01-10-2017,OWNING,Pepper
QF12847,SETTLED,14-08-2024,33653,0,0,36,COMPANY,DEALER,TERTIARY_ASSETS,OTHER_TERTIARY,2024,NEW,01-07-2023,28-06-2023,OWNING,Pepper
QF12858,DRAFTED_AMENDED,,133534.5,0,0,60,TRUST,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,13-08-2020,13-08-2020,OWNING,Flexicommercial
QF12871,SETTLED,12-08-2024,49990,2000,0,60,COMPANY,DEALER,CARS_AND_LIGHT_TRUCKS,PASSENGER_VEHICLES,2018,USED,16-02-2022,16-02-2022,OWNING,Pepper
QF12878,SETTLED,28-08-2024,87474,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,17-10-2022,17-10-2022,OWNING,Flexicommercial
QF12883,DRAFTED_AMENDED,,22000,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,18-11-2022,18-11-2022,OWNING,Pepper
QF12920,SETTLED,21-08-2024,140544.5,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,17-02-2006,17-02-2006,OWNING,Flexicommercial
QF12922,SUBMITTED_NEW,,70834.5,0,0,60,TRUST,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,21-01-2020,21-01-2020,OWNING,Pepper
QF12926,SETTLED,23-08-2024,52500,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,17-02-2006,17-02-2006,OWNING,Pepper
QF12930,SETTLED,19-08-2024,90034.5,2000,0,60,SOLE_TRADER,DEALER,CARS_AND_LIGHT_TRUCKS,PASSENGER_VEHICLES,2023,NEW,,01-01-2001,OWNING,Pepper
QF12941,SUBMITTED_NEW,,24984.5,6000,0,60,TRUST,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2019,NEW,25-01-2022,01-07-2016,RENTING,Pepper
QF12953,SETTLED,29-08-2024,68000,0,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,17-10-2022,17-10-2022,OWNING,Pepper
QF12955,SUBMITTED_NEW,,65524.5,1000,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2024,NEW,29-09-2020,29-09-2020,OWNING,Pepper
QF12979,SUBMITTED_NEW,,34534.5,0,0,60,SOLE_TRADER,DEALER,PRIMARY_ASSETS,TRAILERS,2024,NEW,01-02-2023,11-12-2018,RENTING,Pepper
